"Var1","Var2","Correlation_Coefficient","Correlation_Type"
"Inequality.in.income..2010.","Inequality.in.income..2010.",1,"Pearson"
"Inequality.in.income..2011.","Inequality.in.income..2010.",0.984460366535345,"Pearson"
"Inequality.in.income..2012.","Inequality.in.income..2010.",0.973330410537125,"Pearson"
"Inequality.in.income..2013.","Inequality.in.income..2010.",0.955808981607819,"Pearson"
"Inequality.in.income..2014.","Inequality.in.income..2010.",0.933849449662911,"Pearson"
"Inequality.in.income..2015.","Inequality.in.income..2010.",0.924693806809958,"Pearson"
"Inequality.in.income..2016.","Inequality.in.income..2010.",0.917106685217175,"Pearson"
"Inequality.in.income..2017.","Inequality.in.income..2010.",0.907133310929133,"Pearson"
"Inequality.in.income..2018.","Inequality.in.income..2010.",0.900287205215717,"Pearson"
"Inequality.in.income..2019.","Inequality.in.income..2010.",0.896404325622939,"Pearson"
"Inequality.in.income..2020.","Inequality.in.income..2010.",0.897915360010298,"Pearson"
"Inequality.in.income..2021.","Inequality.in.income..2010.",0.897915360010298,"Pearson"
"Inequality.in.income..2010.","Inequality.in.income..2011.",0.984460366535345,"Pearson"
"Inequality.in.income..2011.","Inequality.in.income..2011.",1,"Pearson"
"Inequality.in.income..2012.","Inequality.in.income..2011.",0.988785651815765,"Pearson"
"Inequality.in.income..2013.","Inequality.in.income..2011.",0.969825304657835,"Pearson"
"Inequality.in.income..2014.","Inequality.in.income..2011.",0.933060738988757,"Pearson"
"Inequality.in.income..2015.","Inequality.in.income..2011.",0.923499886743127,"Pearson"
"Inequality.in.income..2016.","Inequality.in.income..2011.",0.916663529044122,"Pearson"
"Inequality.in.income..2017.","Inequality.in.income..2011.",0.908831888662528,"Pearson"
"Inequality.in.income..2018.","Inequality.in.income..2011.",0.897935026625174,"Pearson"
"Inequality.in.income..2019.","Inequality.in.income..2011.",0.897580292326194,"Pearson"
"Inequality.in.income..2020.","Inequality.in.income..2011.",0.898649293563925,"Pearson"
"Inequality.in.income..2021.","Inequality.in.income..2011.",0.898649293563925,"Pearson"
"Inequality.in.income..2010.","Inequality.in.income..2012.",0.973330410537125,"Pearson"
"Inequality.in.income..2011.","Inequality.in.income..2012.",0.988785651815765,"Pearson"
"Inequality.in.income..2012.","Inequality.in.income..2012.",1,"Pearson"
"Inequality.in.income..2013.","Inequality.in.income..2012.",0.980629565810407,"Pearson"
"Inequality.in.income..2014.","Inequality.in.income..2012.",0.949699181010508,"Pearson"
"Inequality.in.income..2015.","Inequality.in.income..2012.",0.943009522216911,"Pearson"
"Inequality.in.income..2016.","Inequality.in.income..2012.",0.936753413111594,"Pearson"
"Inequality.in.income..2017.","Inequality.in.income..2012.",0.928627387349794,"Pearson"
"Inequality.in.income..2018.","Inequality.in.income..2012.",0.916386183942373,"Pearson"
"Inequality.in.income..2019.","Inequality.in.income..2012.",0.916156147536271,"Pearson"
"Inequality.in.income..2020.","Inequality.in.income..2012.",0.916211762237878,"Pearson"
"Inequality.in.income..2021.","Inequality.in.income..2012.",0.916211762237878,"Pearson"
"Inequality.in.income..2010.","Inequality.in.income..2013.",0.955808981607819,"Pearson"
"Inequality.in.income..2011.","Inequality.in.income..2013.",0.969825304657835,"Pearson"
"Inequality.in.income..2012.","Inequality.in.income..2013.",0.980629565810407,"Pearson"
"Inequality.in.income..2013.","Inequality.in.income..2013.",1,"Pearson"
"Inequality.in.income..2014.","Inequality.in.income..2013.",0.967751387031353,"Pearson"
"Inequality.in.income..2015.","Inequality.in.income..2013.",0.962487919031287,"Pearson"
"Inequality.in.income..2016.","Inequality.in.income..2013.",0.957029753906206,"Pearson"
"Inequality.in.income..2017.","Inequality.in.income..2013.",0.946602273538218,"Pearson"
"Inequality.in.income..2018.","Inequality.in.income..2013.",0.925548318032401,"Pearson"
"Inequality.in.income..2019.","Inequality.in.income..2013.",0.924758532367466,"Pearson"
"Inequality.in.income..2020.","Inequality.in.income..2013.",0.919128263937454,"Pearson"
"Inequality.in.income..2021.","Inequality.in.income..2013.",0.919128263937454,"Pearson"
"Inequality.in.income..2010.","Inequality.in.income..2014.",0.933849449662911,"Pearson"
"Inequality.in.income..2011.","Inequality.in.income..2014.",0.933060738988757,"Pearson"
"Inequality.in.income..2012.","Inequality.in.income..2014.",0.949699181010508,"Pearson"
"Inequality.in.income..2013.","Inequality.in.income..2014.",0.967751387031353,"Pearson"
"Inequality.in.income..2014.","Inequality.in.income..2014.",1,"Pearson"
"Inequality.in.income..2015.","Inequality.in.income..2014.",0.995726945319104,"Pearson"
"Inequality.in.income..2016.","Inequality.in.income..2014.",0.99031738204407,"Pearson"
"Inequality.in.income..2017.","Inequality.in.income..2014.",0.981187249991052,"Pearson"
"Inequality.in.income..2018.","Inequality.in.income..2014.",0.959768709431095,"Pearson"
"Inequality.in.income..2019.","Inequality.in.income..2014.",0.952741654393974,"Pearson"
"Inequality.in.income..2020.","Inequality.in.income..2014.",0.944808888740385,"Pearson"
"Inequality.in.income..2021.","Inequality.in.income..2014.",0.944808888740385,"Pearson"
"Inequality.in.income..2010.","Inequality.in.income..2015.",0.924693806809958,"Pearson"
"Inequality.in.income..2011.","Inequality.in.income..2015.",0.923499886743127,"Pearson"
"Inequality.in.income..2012.","Inequality.in.income..2015.",0.943009522216911,"Pearson"
"Inequality.in.income..2013.","Inequality.in.income..2015.",0.962487919031287,"Pearson"
"Inequality.in.income..2014.","Inequality.in.income..2015.",0.995726945319104,"Pearson"
"Inequality.in.income..2015.","Inequality.in.income..2015.",1,"Pearson"
"Inequality.in.income..2016.","Inequality.in.income..2015.",0.994652903700136,"Pearson"
"Inequality.in.income..2017.","Inequality.in.income..2015.",0.985410387176935,"Pearson"
"Inequality.in.income..2018.","Inequality.in.income..2015.",0.964418414074789,"Pearson"
"Inequality.in.income..2019.","Inequality.in.income..2015.",0.956575431514049,"Pearson"
"Inequality.in.income..2020.","Inequality.in.income..2015.",0.947888988064817,"Pearson"
"Inequality.in.income..2021.","Inequality.in.income..2015.",0.947888988064817,"Pearson"
"Inequality.in.income..2010.","Inequality.in.income..2016.",0.917106685217175,"Pearson"
"Inequality.in.income..2011.","Inequality.in.income..2016.",0.916663529044122,"Pearson"
"Inequality.in.income..2012.","Inequality.in.income..2016.",0.936753413111594,"Pearson"
"Inequality.in.income..2013.","Inequality.in.income..2016.",0.957029753906206,"Pearson"
"Inequality.in.income..2014.","Inequality.in.income..2016.",0.99031738204407,"Pearson"
"Inequality.in.income..2015.","Inequality.in.income..2016.",0.994652903700136,"Pearson"
"Inequality.in.income..2016.","Inequality.in.income..2016.",1,"Pearson"
"Inequality.in.income..2017.","Inequality.in.income..2016.",0.991263756957771,"Pearson"
"Inequality.in.income..2018.","Inequality.in.income..2016.",0.973624835326004,"Pearson"
"Inequality.in.income..2019.","Inequality.in.income..2016.",0.965650047250979,"Pearson"
"Inequality.in.income..2020.","Inequality.in.income..2016.",0.956889348677087,"Pearson"
"Inequality.in.income..2021.","Inequality.in.income..2016.",0.956889348677087,"Pearson"
"Inequality.in.income..2010.","Inequality.in.income..2017.",0.907133310929133,"Pearson"
"Inequality.in.income..2011.","Inequality.in.income..2017.",0.908831888662528,"Pearson"
