"","Inequality.in.income..2010.","Inequality.in.income..2011.","Inequality.in.income..2012.","Inequality.in.income..2013.","Inequality.in.income..2014.","Inequality.in.income..2015.","Inequality.in.income..2016.","Inequality.in.income..2017.","Inequality.in.income..2018.","Inequality.in.income..2019.","Inequality.in.income..2020.","Inequality.in.income..2021."
"Inequality.in.income..2010.",1,0.979652934008249,0.96013495428275,0.94695014556161,0.918472280509284,0.911963148624848,0.905100600166297,0.891484281948931,0.898102121853777,0.892768408863782,0.888313911319183,0.888313911319183
"Inequality.in.income..2011.",0.979652934008249,1,0.98310060298318,0.968115305823822,0.923410516340603,0.91779822691056,0.911905343385939,0.89644020634061,0.894494868007613,0.894489529827212,0.891654456258129,0.891654456258129
"Inequality.in.income..2012.",0.96013495428275,0.98310060298318,1,0.983353015273185,0.94817538783056,0.942730391674054,0.935607066986922,0.920962536688207,0.912933144840091,0.912871917159494,0.909037376058908,0.909037376058908
"Inequality.in.income..2013.",0.94695014556161,0.968115305823822,0.983353015273185,1,0.965007962055509,0.961422098292088,0.956217545373263,0.939011634689142,0.921399994632743,0.919134475409608,0.908060720975265,0.908060720975265
"Inequality.in.income..2014.",0.918472280509284,0.923410516340603,0.94817538783056,0.965007962055509,1,0.99641818449868,0.98905817063746,0.970232669194814,0.949545268274759,0.93811363892978,0.925492353601334,0.925492353601334
"Inequality.in.income..2015.",0.911963148624848,0.91779822691056,0.942730391674054,0.961422098292088,0.99641818449868,1,0.992485881582579,0.973804933982928,0.953321439461188,0.940026614540231,0.927218036634368,0.927218036634368
"Inequality.in.income..2016.",0.905100600166297,0.911905343385939,0.935607066986922,0.956217545373263,0.98905817063746,0.992485881582579,1,0.983751228055188,0.96322685595482,0.949780785152696,0.936978793594049,0.936978793594049
"Inequality.in.income..2017.",0.891484281948931,0.89644020634061,0.920962536688207,0.939011634689142,0.970232669194814,0.973804933982928,0.983751228055188,1,0.983015665861957,0.970346940792725,0.959581372517813,0.959581372517813
"Inequality.in.income..2018.",0.898102121853777,0.894494868007613,0.912933144840091,0.921399994632743,0.949545268274759,0.953321439461188,0.96322685595482,0.983015665861957,1,0.98798499784261,0.978030974745104,0.978030974745104
"Inequality.in.income..2019.",0.892768408863782,0.894489529827212,0.912871917159494,0.919134475409608,0.93811363892978,0.940026614540231,0.949780785152696,0.970346940792725,0.98798499784261,1,0.98954035552868,0.98954035552868
"Inequality.in.income..2020.",0.888313911319183,0.891654456258129,0.909037376058908,0.908060720975265,0.925492353601334,0.927218036634368,0.936978793594049,0.959581372517813,0.978030974745104,0.98954035552868,1,1
"Inequality.in.income..2021.",0.888313911319183,0.891654456258129,0.909037376058908,0.908060720975265,0.925492353601334,0.927218036634368,0.936978793594049,0.959581372517813,0.978030974745104,0.98954035552868,1,1
